Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;dez/16;nov/16;out/16;set/16;ago/16;jul/16;jun/16;mai/16;abr/16;mar/16;fev/16;jan/16;Competência;Data de atualização
AMENO ASSISTÊNCIA MÉDICA LTDA. (409464);Médico Hospitalar;Pequeno;;132;;0,00;0,00;0,00;;0,00;0,00;0,00;0,00;;0,00;0,00;201612;22/01/2017 02:12:18
AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA (413330);Médico Hospitalar;Médio;;;;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;;201612;22/01/2017 02:12:18
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA (394734);Médico Hospitalar;Médio;1;140;100,00;95,12;84,21;78,79;79,31;84,00;86,96;85,71;87,10;88,89;88,00;91,67;201612;22/01/2017 02:12:18
AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A. (321338);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;90,91;83,33;80,00;86,67;91,67;91,30;88,24;62,50;201612;22/01/2017 02:12:18
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ (401081);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;87,50;201612;22/01/2017 02:12:18
AMHA SAUDE S/A (418587);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;85,71;66,67;50,00;201612;22/01/2017 02:12:18
AMHPLA COOPERATIVA DE ASSISTENCIA MEDICA (333221);Médico Hospitalar;Médio;;1;;100,00;100,00;80,00;33,33;0,00;0,00;;100,00;100,00;100,00;100,00;201612;22/01/2017 02:12:18
AMI - ASSISTÊNCIA MÉDICA INFANTIL LTDA (328332);Médico Hospitalar;Pequeno;121;131;66,67;40,00;50,00;60,00;100,00;100,00;100,00;100,00;100,00;100,00;;;201612;22/01/2017 02:12:18
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A. (326305);Médico Hospitalar;Grande;58;62;95,00;90,98;88,31;87,76;87,58;87,54;86,33;86,36;85,88;85,38;85,75;82,76;201612;22/01/2017 02:12:18
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA (325465);Médico Hospitalar;Pequeno;;;;;;0,00;50,00;50,00;100,00;;100,00;100,00;100,00;;201612;22/01/2017 02:12:18
A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA (406708);Médico Hospitalar;Pequeno;1;;100,00;;;;;;;;;100,00;100,00;100,00;201612;22/01/2017 02:12:18
ARAÇA PLANOS DE SAÚDE LTDA. (407704);Médico Hospitalar;Pequeno;;;;;50,00;50,00;50,00;;;0,00;0,00;0,00;;;201612;22/01/2017 02:12:18
ARCELORMITTAL BRASIL S/A (416070);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA (325236);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;75,00;80,00;33,33;75,00;66,67;100,00;100,00;201612;22/01/2017 02:12:18
ASSISTENCIA MEDICO HOSPITALAR SAO LUCAS S/A (323811);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;93,75;78,95;70,83;79,31;87,50;100,00;100,00;201612;22/01/2017 02:12:18
ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA. (415847);Médico Hospitalar;Pequeno;;;;;100,00;100,00;100,00;;;;;;;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;50,00;33,33;0,00;;;100,00;100,00;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE (411752);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;85,71;88,89;90,00;100,00;100,00;100,00;87,50;77,78;201612;22/01/2017 02:12:18
ASSOCIAÇÃO AUXILIADORA DAS CLASSES LABORIOSAS (340146);Médico Hospitalar;Pequeno;119;119;76,19;68,57;64,29;56,10;53,13;57,14;75,00;87,50;92,31;94,12;100,00;92,86;201612;22/01/2017 02:12:18
ASSOCIAÇÃO BENEFICENTE CATÓLICA (322326);Médico Hospitalar;Médio;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15) (304131);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO BENEFICENTE DE CAMPO GRANDE (306428);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI (382540);Médico Hospitalar;Grande;;77;;0,00;33,33;16,67;14,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO BENEFICENTE FNV (415049);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO BRASILEIRA DOS EMPREGADOS EM TELECOMUNICAÇÕES (338915);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;87,50;90,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO CASA DO VIAJANTE (412457);Médico Hospitalar;Pequeno;;;;;;;0,00;0,00;0,00;;;;;;201612;22/01/2017 02:12:18
ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;80,00;66,67;50,00;100,00;66,67;66,67;66,67;75,00;88,89;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568);Médico Hospitalar;Médio;1;;100,00;;100,00;100,00;100,00;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE JOINVILLE - EM LIQUIDAÇÃO EXTRAJUDICIAL (414913);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ (417955);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO (314218);Médico Hospitalar;Grande;1;1;100,00;100,00;100,00;100,00;100,00;96,61;96,72;92,98;89,58;89,36;86,05;90,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO (418731);Médico Hospitalar;Pequeno;;;;;;50,00;50,00;50,00;;;;;;;201612;22/01/2017 02:12:18
ASSOCIACAO DE SAUDE HOLAMBRA (360783);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA (417530);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;95,65;90,48;92,00;94,44;100,00;86,67;90,91;92,31;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533);Médico Hospitalar;Pequeno;;;;;;;;0,00;0,00;0,00;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL (336441);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL (420000);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021);Médico Hospitalar;Médio;1;1;100,00;100,00;92,31;91,67;90,00;100,00;100,00;90,91;87,50;85,71;100,00;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO- AFRESP (317632);Médico Hospitalar;Pequeno;;1;;100,00;50,00;50,00;0,00;;100,00;100,00;100,00;100,00;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP (330281);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS (306754);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM (388092);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS FUNCIONÁRIOS PÚBLICOS DO ESPÍRITO SANTO (394271);Médico Hospitalar;Pequeno;109;112;83,33;75,00;100,00;100,00;;;;;;;0,00;0,00;201612;22/01/2017 02:12:18
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599);Médico Hospitalar;Médio;1;;100,00;;100,00;100,00;50,00;50,00;75,00;100,00;100,00;100,00;100,00;;201612;22/01/2017 02:12:18
ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754);Médico Hospitalar;Pequeno;;132;;0,00;0,00;0,00;100,00;100,00;100,00;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO (309028);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;83,33;75,00;80,00;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ (419591);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556);Médico Hospitalar;Médio;1;201;100,00;60,00;60,00;50,00;;;50,00;60,00;71,43;71,43;75,00;50,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA (326755);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;83,33;85,71;75,00;100,00;100,00;100,00;100,00;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO (402206);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;;100,00;100,00;100,00;50,00;75,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO METROPOLITANA DE ASSISTÊNCIA À SAÚDE (418854);Médico Hospitalar;Pequeno;118;105;77,78;83,33;85,71;93,33;88,89;83,33;94,12;85,19;79,31;68,42;66,67;66,67;201612;22/01/2017 02:12:18
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO (417211);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - APAS SOROCABA/VOTORANTIM (410128);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;;;;;;;100,00;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA (409405);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS) (414212);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU (406945);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU (408093);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026);Médico Hospitalar;Pequeno;;;;;;;;;;;;;0,00;0,00;201612;22/01/2017 02:12:18
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA (406635);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ (408034);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406813);Médico Hospitalar;Pequeno;1;;100,00;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406937);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413);Médico Hospitalar;Pequeno;;;;;;;;;100,00;100,00;100,00;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO POLICIAL MILITAR DE ASSISTËNCIA A SAÚDE (407097);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO PORTUGUESA BENEFICENTE VASCO DA GAMA (346292);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;;100,00;100,00;100,00;100,00;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO PRÓ-SAÚDE (333328);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803);Médico Hospitalar;Pequeno;125;132;0,00;0,00;33,33;50,00;66,67;50,00;50,00;100,00;100,00;100,00;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS (419249);Médico Hospitalar;Médio;171;163;88,89;88,89;87,50;100,00;100,00;100,00;100,00;80,00;75,00;71,43;80,00;88,89;201612;22/01/2017 02:12:18
ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141);Médico Hospitalar;Pequeno;;132;;0,00;33,33;50,00;100,00;100,00;100,00;100,00;100,00;66,67;66,67;50,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO SAÚDE CONCEIÇÃO (330892);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇÃO SAÚDE RURAL ALEGRETE (418218);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO SAÚDE SÃO JOSÉ (418919);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;;0,00;0,00;0,00;100,00;100,00;201612;22/01/2017 02:12:18
ASSOCIAÇAO UNISAUDE MARAU (333867);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL (412635);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;;;100,00;100,00;100,00;;201612;22/01/2017 02:12:18
ASTRA S/A INDUSTRIA E COMERCIO (358410);Médico Hospitalar;Pequeno;125;132;0,00;0,00;0,00;;;;;;;;;;201612;22/01/2017 02:12:18
ATÍVIA SERVIÇOS DE SAÚDE S/A (320510);Médico Hospitalar;Pequeno;;1;;100,00;100,00;66,67;50,00;66,67;50,00;33,33;50,00;75,00;100,00;100,00;201612;22/01/2017 02:12:18
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (327417);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201612;22/01/2017 02:12:18
BARDELLA S/A INDÚSTRIAS MECÂNICAS (346403);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
BENEFICENCIA CAMILIANA DO SUL (318299);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201612;22/01/2017 02:12:18
BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561);Médico Hospitalar;Médio;1;1;100,00;100,00;75,00;75,00;80,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201612;22/01/2017 02:12:18
BIO SAÚDE SERVIÇOS MÉDICOS LTDA (402966);Médico Hospitalar;Médio;1;137;100,00;95,45;87,50;85,71;75,00;100,00;100,00;100,00;100,00;100,00;100,00;;201612;22/01/2017 02:12:18
BIOLIFE SAUDE OPERADORA DE PLANOS DE SAUDE LTDA (419311);Médico Hospitalar;Pequeno;109;118;83,33;71,43;66,67;66,67;71,43;50,00;50,00;66,67;83,33;80,00;75,00;;201612;22/01/2017 02:12:18
BIOVIDA SAÚDE LTDA. (415111);Médico Hospitalar;Grande;40;33;98,21;95,89;93,42;93,59;89,86;92,31;89,29;96,67;94,44;93,75;89,66;86,67;201612;22/01/2017 02:12:18
BOA VISTA ENERGIA S/A (416983);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
BRADESCO SAÚDE S.A. (005711);Médico Hospitalar;Grande;45;35;97,66;95,77;93,29;92,27;91,18;90,37;91,49;91,02;90,93;89,84;90,75;90,58;201612;22/01/2017 02:12:18
BRF S/A (417238);Médico Hospitalar;Médio;1;1;100,00;100,00;;;;;;0,00;0,00;0,00;;;201612;22/01/2017 02:12:18
CABERJ INTEGRAL SAÚDE S.A (415774);Médico Hospitalar;Médio;1;176;100,00;84,62;87,50;84,21;82,35;61,54;60,00;77,78;100,00;80,00;77,78;83,33;201612;22/01/2017 02:12:18
CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;66,67;75,00;66,67;100,00;100,00;100,00;;0,00;201612;22/01/2017 02:12:18
CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE (314251);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;;;;;;;;201612;22/01/2017 02:12:18
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331);Médico Hospitalar;Médio;1;163;100,00;88,89;87,50;88,89;100,00;100,00;87,50;75,00;66,67;80,00;88,89;90,91;201612;22/01/2017 02:12:18
CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA (416401);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;0,00;0,00;66,67;100,00;100,00;100,00;100,00;100,00;100,00;201612;22/01/2017 02:12:18
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ (324361);Médico Hospitalar;Médio;169;150;93,33;92,96;89,87;88,16;88,24;92,98;97,83;95,24;91,18;84,09;80,00;81,63;201612;22/01/2017 02:12:18
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201612;22/01/2017 02:12:18
CAIXA DE ASSISTÊNCIA A SAÚDE DA UNIVERSIDADE (330027);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC (412295);Médico Hospitalar;Pequeno;;;;;;;;;;0,00;0,00;0,00;;;201612;22/01/2017 02:12:18
CAIXA DE ASSISTENCIA A SAUDE DOS ESTIVADORES DE PARANAGUÁ-SINDESTIVASAUDE (419273);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE (419851);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO (418820);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201612;22/01/2017 02:12:18
