Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;dez/15;nov/15;out/15;set/15;ago/15;jul/15;jun/15;mai/15;abr/15;mar/15;fev/15;jan/15;Competência;Data de atualização
ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129);Médico Hospitalar;Pequeno;;;;;;;;;0,00;0,00;0,00;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS SERVIDORES DO FISCO ESTADUAL DO PARÁ - ASFEPA (411434);Médico Hospitalar;X;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO (309028);Médico Hospitalar;Médio;;;;;;100,00;100,00;100,00;;;0,00;50,00;50,00;100,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ (419591);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556);Médico Hospitalar;Médio;;;;;100,00;100,00;100,00;100,00;100,00;100,00;50,00;0,00;0,00;100,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA (326755);Médico Hospitalar;Médio;;1;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO (402206);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIACAO HOSPITALAR SANTA ROSALIA (408506);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150);Médico Hospitalar;Médio;1;1;100,00;100,00;;;;;;;100,00;100,00;100,00;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO METROPOLITANA DE ASSISTÊNCIA À SAÚDE (418854);Médico Hospitalar;Pequeno;94;106;88,89;80,00;75,00;80,00;100,00;100,00;66,67;50,00;0,00;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO (417211);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - APAS SOROCABA/VOTORANTIM (410128);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;100,00;100,00;100,00;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA (409405);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110);Médico Hospitalar;Pequeno;110;126;0,00;0,00;0,00;100,00;100,00;100,00;;;;;;100,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS) (414212);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU (406945);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU (408093);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026);Médico Hospitalar;Pequeno;1;;100,00;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA (406635);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ (408034);Médico Hospitalar;Pequeno;;;;;;;;;;100,00;100,00;100,00;;;201512;22/01/2016 16:40:35
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;;;;;0,00;0,00;0,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406813);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406937);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO POLICIAL MILITAR DE ASSISTËNCIA A SAÚDE (407097);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO PORTUGUESA BENEFICENTE VASCO DA GAMA (346292);Médico Hospitalar;Pequeno;;;;;;;;;;;;100,00;100,00;100,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO PRÓ-SAÚDE (333328);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS (419249);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;90,00;90,91;81,82;201512;22/01/2016 16:40:35
ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;;;;;;;0,00;0,00;201512;22/01/2016 16:40:35
ASSOCIAÇÃO SAÚDE CONCEIÇÃO (330892);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO SAÚDE SÃO JOSÉ (418919);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;0,00;201512;22/01/2016 16:40:35
ASSOCIAÇAO UNISAUDE MARAU (333867);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL (412635);Médico Hospitalar;Pequeno;;;;;;;;;;0,00;0,00;0,00;;;201512;22/01/2016 16:40:35
ASTRA S/A INDUSTRIA E COMERCIO (358410);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
ATÍVIA SERVIÇOS DE SAÚDE S/A (320510);Médico Hospitalar;Pequeno;1;106;100,00;80,00;75,00;80,00;100,00;80,00;60,00;57,14;60,00;75,00;88,89;90,91;201512;22/01/2016 16:40:35
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (327417);Médico Hospitalar;Médio;1;197;100,00;66,67;50,00;0,00;33,33;50,00;50,00;;;50,00;50,00;66,67;201512;22/01/2016 16:40:35
BARDELLA S/A INDÚSTRIAS MECÂNICAS (346403);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
BENEFICENCIA CAMILIANA DO SUL (318299);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201512;22/01/2016 16:40:35
BENEFICENCIA NIPO-BRASILEIRA DA AMAZONIA (384054);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
BENEPLAN PLANO DE SAÚDE LTDA. (370363);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;201512;22/01/2016 16:40:35
BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;50,00;50,00;66,67;100,00;100,00;100,00;66,67;50,00;60,00;201512;22/01/2016 16:40:35
BIO SAÚDE SERVIÇOS MÉDICOS LTDA (402966);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;;0,00;0,00;50,00;201512;22/01/2016 16:40:35
BIOLIFE SAUDE OPERADORA DE PLANOS DE SAUDE LTDA (419311);Médico Hospitalar;Pequeno;;1;;100,00;100,00;33,33;0,00;0,00;100,00;100,00;100,00;;;;201512;22/01/2016 16:40:35
BIOVIDA SAÚDE LTDA. (415111);Médico Hospitalar;Grande;52;22;96,88;97,44;94,74;87,80;82,46;84,38;88,14;93,02;94,29;93,55;96,43;95,24;201512;22/01/2016 16:40:35
BOA VISTA ENERGIA S/A (416983);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
BRADESCO SAÚDE S.A. (005711);Médico Hospitalar;Grande;59;49;96,08;92,72;89,53;89,06;88,99;89,22;87,99;87,03;84,07;84,64;85,55;87,74;201512;22/01/2016 16:40:35
BRF S/A (417238);Médico Hospitalar;Grande;;;;;;100,00;100,00;100,00;;;;;;;201512;22/01/2016 16:40:35
CABERJ INTEGRAL SAÚDE S.A (415774);Médico Hospitalar;Médio;161;158;94,12;86,36;85,00;88,89;90,00;74,07;71,43;74,19;85,71;100,00;100,00;100,00;201512;22/01/2016 16:40:35
CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825);Médico Hospitalar;Pequeno;;;;;0,00;50,00;50,00;100,00;;;;0,00;0,00;0,00;201512;22/01/2016 16:40:35
CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE (314251);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;0,00;201512;22/01/2016 16:40:35
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331);Médico Hospitalar;Médio;1;1;100,00;100,00;83,33;87,50;85,71;100,00;100,00;83,33;80,00;66,67;75,00;75,00;201512;22/01/2016 16:40:35
CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA (416401);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;85,71;33,33;33,33;0,00;;;0,00;0,00;201512;22/01/2016 16:40:35
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ (324361);Médico Hospitalar;Grande;43;50;97,62;92,31;91,67;90,48;94,12;92,00;90,91;100,00;100,00;75,00;60,00;60,00;201512;22/01/2016 16:40:35
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873);Médico Hospitalar;Médio;;;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201512;22/01/2016 16:40:35
CAIXA DE ASSISTÊNCIA A SAÚDE DA UNIVERSIDADE (330027);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC (412295);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;;100,00;100,00;100,00;;;201512;22/01/2016 16:40:35
CAIXA DE ASSISTENCIA A SAUDE DOS ESTIVADORES DE PARANAGUÁ-SINDESTIVASAUDE (419273);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO (418820);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
CAIXA DE ASSISTÊNCIA DO SETOR ELÉTRICO - E-VIDA (418374);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;;;;;;;100,00;100,00;201512;22/01/2016 16:40:35
CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND (413518);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201512;22/01/2016 16:40:35
