Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;jan/17;Competência;Data de atualização
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A. (326305);Médico Hospitalar;Grande;57;62;89,29;87,51;87,22;88,26;88,33;87,76;85,83;84,17;82,47;84,40;86,50;86,61;201712;05/02/2018 11:09:28
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA (325465);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;100,00;100,00;100,00;;;;;;;201712;05/02/2018 11:09:28
A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA (406708);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;50,00;201712;05/02/2018 11:09:28
ARAÇA PLANOS DE SAÚDE LTDA. (407704);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ARCELORMITTAL BRASIL S/A (416070);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA (325236);Médico Hospitalar;Médio;174;165;80,00;80,00;75,00;100,00;100,00;100,00;100,00;88,89;90,91;90,91;100,00;100,00;201712;05/02/2018 11:09:28
ASSISTENCIA MEDICO HOSPITALAR SAO LUCAS S/A (323811);Médico Hospitalar;Médio;135;108;92,00;97,06;96,88;95,65;85,71;89,47;89,47;94,44;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA. (415847);Médico Hospitalar;Médio;1;;100,00;;;0,00;0,00;0,00;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554);Médico Hospitalar;Pequeno;1;1;100,00;100,00;75,00;66,67;50,00;;;0,00;50,00;75,00;80,00;75,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE (411752);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO AUXILIADORA DAS CLASSES LABORIOSAS (340146);Médico Hospitalar;Pequeno;121;119;71,43;80,00;69,70;52,94;50,00;55,88;58,06;55,17;55,56;70,00;72,22;84,62;201712;05/02/2018 11:09:28
ASSOCIAÇÃO BENEFICENTE CATÓLICA (322326);Médico Hospitalar;Médio;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15) (304131);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI (382540);Médico Hospitalar;Grande;1;1;100,00;100,00;100,00;100,00;100,00;50,00;25,00;0,00;0,00;0,00;0,00;20,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO BENEFICENTE FNV (415049);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO BRASILEIRA DOS EMPREGADOS EM TELECOMUNICAÇÕES (338915);Médico Hospitalar;Pequeno;119;123;75,00;77,78;77,78;77,78;75,00;100,00;100,00;100,00;66,67;71,43;60,00;80,00;201712;05/02/2018 11:09:28
ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;100,00;100,00;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568);Médico Hospitalar;Médio;;;;;;;;;;;;;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE JOINVILLE - EM LIQUIDAÇÃO EXTRAJUDICIAL (414913);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ (417955);Médico Hospitalar;Pequeno;;;;;100,00;100,00;100,00;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO (314218);Médico Hospitalar;Grande;19;12;96,97;97,87;96,15;96,15;93,62;97,73;94,59;94,29;92,86;96,77;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO (418731);Médico Hospitalar;Pequeno;;;;;;;;;;;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIACAO DE SAUDE HOLAMBRA (360783);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA (417530);Médico Hospitalar;Médio;124;131;95,65;89,66;89,29;92,00;100,00;94,12;95,00;92,31;100,00;100,00;100,00;93,33;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL (420000);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;94,12;91,67;83,33;80,00;80,00;66,67;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO- AFRESP (317632);Médico Hospitalar;Médio;;1;;100,00;100,00;100,00;;100,00;100,00;100,00;;;0,00;0,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP (330281);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704);Médico Hospitalar;Pequeno;;;;;;;;;0,00;0,00;0,00;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS (306754);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM (388092);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS FUNCIONÁRIOS PÚBLICOS DO ESPÍRITO SANTO (394271);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;100,00;100,00;100,00;83,33;71,43;201712;05/02/2018 11:09:28
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;83,33;80,00;50,00;50,00;50,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129);Médico Hospitalar;Pequeno;;;;;;0,00;0,00;0,00;;;;;;;201712;05/02/2018 11:09:28
ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754);Médico Hospitalar;Pequeno;;;;;;;;;0,00;0,00;0,00;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO (309028);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;;100,00;100,00;100,00;;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ (419591);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556);Médico Hospitalar;Médio;1;1;100,00;100,00;83,33;85,71;75,00;100,00;100,00;75,00;50,00;0,00;0,00;50,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA (326755);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;90,91;77,78;66,67;71,43;201712;05/02/2018 11:09:28
ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;;;;;;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO (402206);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150);Médico Hospitalar;Pequeno;124;142;66,67;50,00;100,00;;;;;;0,00;50,00;66,67;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO METROPOLITANA DE ASSISTÊNCIA À SAÚDE (418854);Médico Hospitalar;Pequeno;105;107;87,50;91,67;92,31;90,00;90,00;85,71;100,00;100,00;50,00;60,00;60,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO (417211);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO PADRE ALBINO SAÚDE (420158);Médico Hospitalar;Pequeno;124;142;66,67;50,00;;;100,00;100,00;100,00;100,00;100,00;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS (419958);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;50,00;0,00;0,00;66,67;50,00;50,00;0,00;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - APAS SOROCABA/VOTORANTIM (410128);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA (409405);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;;;;;100,00;100,00;100,00;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS) (414212);Médico Hospitalar;Pequeno;;;;;;;0,00;0,00;0,00;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU (406945);Médico Hospitalar;Pequeno;;;;;;0,00;0,00;0,00;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU (408093);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA (406635);Médico Hospitalar;Pequeno;142;150;0,00;0,00;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ (408034);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794);Médico Hospitalar;Pequeno;;;;;;;;;;;100,00;100,00;100,00;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406813);Médico Hospitalar;Pequeno;;;;;;;;;;;;;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406937);Médico Hospitalar;Pequeno;;;;;;0,00;0,00;0,00;100,00;100,00;100,00;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO POLICIAL MILITAR DE ASSISTËNCIA A SAÚDE (407097);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO PORTUGUESA BENEFICENTE VASCO DA GAMA (346292);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;;;;;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO PRÓ-SAÚDE (333328);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803);Médico Hospitalar;Pequeno;124;131;66,67;66,67;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS (419249);Médico Hospitalar;Médio;157;132;87,50;89,47;89,47;93,75;93,33;93,33;95,24;95,24;95,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇÃO SAÚDE CONCEIÇÃO (330892);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO SAÚDE RURAL ALEGRETE (418218);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO SAÚDE SÃO JOSÉ (418919);Médico Hospitalar;Pequeno;;;;;;;;;;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
ASSOCIAÇAO UNISAUDE MARAU (333867);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL (412635);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;;;;;0,00;0,00;0,00;201712;05/02/2018 11:09:28
ASTRA S/A INDUSTRIA E COMERCIO (358410);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
ATÍVIA SERVIÇOS DE SAÚDE S/A (320510);Médico Hospitalar;Pequeno;124;1;66,67;100,00;100,00;100,00;100,00;100,00;100,00;;;;;;201712;05/02/2018 11:09:28
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (327417);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;80,00;66,67;0,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
BARDELLA S/A INDÚSTRIAS MECÂNICAS (346403);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
BENEFICENCIA CAMILIANA DO SUL (318299);Médico Hospitalar;Médio;189;178;66,67;75,00;80,00;100,00;100,00;80,00;66,67;75,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
BIO SAÚDE SERVIÇOS MÉDICOS LTDA (402966);Médico Hospitalar;Médio;124;113;95,65;95,00;95,00;95,00;86,67;84,62;91,67;100,00;100,00;100,00;91,67;88,89;201712;05/02/2018 11:09:28
BIOLIFE SAUDE OPERADORA DE PLANOS DE SAUDE LTDA (419311);Médico Hospitalar;Pequeno;142;150;0,00;0,00;0,00;16,67;14,29;12,50;22,22;40,00;50,00;66,67;33,33;57,14;201712;05/02/2018 11:09:28
BIOVIDA SAÚDE LTDA. (415111);Médico Hospitalar;Grande;23;25;95,83;94,55;95,65;95,56;93,18;91,84;94,00;97,92;100,00;97,62;97,44;95,65;201712;05/02/2018 11:09:28
BOA VISTA ENERGIA S/A (416983);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
BRADESCO SAÚDE S.A. (005711);Médico Hospitalar;Grande;30;32;94,70;93,25;93,72;92,81;93,20;92,48;92,06;91,21;90,34;90,72;91,61;92,45;201712;05/02/2018 11:09:28
BRF S/A (417238);Médico Hospitalar;Médio;208;206;0,00;0,00;0,00;;;;;;;;0,00;50,00;201712;05/02/2018 11:09:28
CABERJ INTEGRAL SAÚDE S.A (415774);Médico Hospitalar;Médio;1;1;100,00;100,00;94,74;91,67;88,46;90,00;92,86;91,67;76,92;73,33;75,00;73,33;201712;05/02/2018 11:09:28
CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557);Médico Hospitalar;Pequeno;;;;;;;;;;;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825);Médico Hospitalar;Pequeno;;;;;100,00;100,00;100,00;100,00;50,00;50,00;0,00;;;;201712;05/02/2018 11:09:28
CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE (314251);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;;100,00;100,00;100,00;;;;;201712;05/02/2018 11:09:28
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331);Médico Hospitalar;Médio;141;158;90,91;84,21;87,50;71,43;75,00;83,33;100,00;100,00;100,00;100,00;100,00;81,82;201712;05/02/2018 11:09:28
CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA (416401);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ (324361);Médico Hospitalar;Médio;196;155;62,50;84,62;83,33;85,71;75,00;79,41;82,61;82,81;83,05;85,71;90,91;93,24;201712;05/02/2018 11:09:28
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;;;100,00;100,00;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA A SAÚDE DA UNIVERSIDADE (330027);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC (412295);Médico Hospitalar;Pequeno;;;;;;;;;;100,00;100,00;100,00;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTENCIA A SAUDE DOS ESTIVADORES DE PARANAGUÁ-SINDESTIVASAUDE (419273);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE (419851);Médico Hospitalar;Pequeno;;;;;;;;;;;;100,00;100,00;100,00;201712;05/02/2018 11:09:28
CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO (418820);Médico Hospitalar;Pequeno;;;;;;0,00;0,00;0,00;;;;;;;201712;05/02/2018 11:09:28
