Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;dez/18;nov/18;out/18;set/18;ago/18;jul/18;jun/18;mai/18;abr/18;mar/18;fev/18;jan/18;Competência;Data de atualização
AMENO ASSISTÊNCIA MÉDICA LTDA. (409464);Médico Hospitalar;Pequeno;142;142;46,43;57,89;57,14;71,43;69,44;80,00;82,93;81,48;80,77;77,67;78,65;72,22;201812;16/01/2019 04:17:13
AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA (413330);Médico Hospitalar;Médio;;1;;100,00;100,00;100,00;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA (394734);Médico Hospitalar;Grande;65;63;87,14;89,87;89,33;88,33;91,23;89,83;94,37;93,51;95,45;95,65;94,12;90,32;201812;16/01/2019 04:17:13
AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A. (321338);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;92,86;94,74;96,00;100,00;95,65;90,48;86,67;92,86;81,82;201812;16/01/2019 04:17:13
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ (401081);Médico Hospitalar;Médio;151;1;95,24;100,00;95,00;95,83;96,15;90,91;82,35;84,21;92,86;100,00;100,00;100,00;201812;16/01/2019 04:17:13
AMHA SAUDE S/A (418587);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
AMI - ASSISTÊNCIA MÉDICA INFANTIL LTDA (328332);Médico Hospitalar;Pequeno;122;130;87,69;87,10;83,05;92,86;90,48;86,96;85,19;82,35;85,71;80,95;77,42;80,00;201812;16/01/2019 04:17:13
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A. (326305);Médico Hospitalar;Grande;27;30;96,98;96,27;94,99;93,71;93,10;91,66;90,61;89,92;88,46;88,94;87,62;88,25;201812;16/01/2019 04:17:13
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA (325465);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;;;;;100,00;100,00;201812;16/01/2019 04:17:13
A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA (406708);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;;;;;;;;;;201812;16/01/2019 04:17:13
ARAÇA PLANOS DE SAÚDE LTDA. (407704);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ARCELORMITTAL BRASIL S/A (416070);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA (325236);Médico Hospitalar;Médio;1;1;100,00;100,00;87,50;87,50;85,71;100,00;100,00;100,00;100,00;88,89;88,89;90,00;201812;16/01/2019 04:17:13
ASSISTENCIA MEDICO HOSPITALAR SAO LUCAS S/A (323811);Médico Hospitalar;Médio;164;170;89,47;89,66;87,50;92,00;96,43;100,00;100,00;100,00;97,14;93,94;87,50;85,71;201812;16/01/2019 04:17:13
ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA. (415847);Médico Hospitalar;X;1;1;100,00;100,00;;0,00;0,00;0,00;;;;;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE (406554);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;100,00;100,00;100,00;83,33;62,50;50,00;50,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE (411752);Médico Hospitalar;Médio;158;164;92,31;90,91;87,50;100,00;100,00;75,00;66,67;58,33;70,00;87,50;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO AUXILIADORA DAS CLASSES LABORIOSAS (340146);Médico Hospitalar;Pequeno;1;1;100,00;100,00;85,71;75,00;63,64;66,67;75,00;83,33;64,71;52,63;38,89;53,85;201812;16/01/2019 04:17:13
ASSOCIAÇÃO BENEFICENTE CATÓLICA (322326);Médico Hospitalar;Médio;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15) (304131);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI (382540);Médico Hospitalar;Grande;74;75;33,33;50,00;28,57;66,67;40,00;50,00;0,00;0,00;100,00;50,00;50,00;0,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO BENEFICENTE FNV (415049);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;;0,00;0,00;0,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE JOINVILLE - EM LIQUIDAÇÃO EXTRAJUDICIAL (414913);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ (417955);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO (314218);Médico Hospitalar;Grande;31;23;96,30;97,22;97,50;97,73;97,62;93,88;94,92;93,75;97,67;100,00;100,00;97,22;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO (418731);Médico Hospitalar;Pequeno;;;;;;;;;;;100,00;100,00;100,00;;201812;16/01/2019 04:17:13
ASSOCIACAO DE SAUDE HOLAMBRA (360783);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA (417530);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;91,67;94,44;94,74;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL (420000);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021);Médico Hospitalar;Médio;154;1;94,44;100,00;100,00;100,00;100,00;78,57;85,00;86,36;100,00;100,00;95,83;95,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO- AFRESP (317632);Médico Hospitalar;Médio;;;;;;0,00;50,00;33,33;50,00;0,00;0,00;0,00;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP (330281);Médico Hospitalar;Pequeno;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS (306754);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;;;100,00;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM (388092);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS FUNCIONÁRIOS PÚBLICOS DO ESPÍRITO SANTO (394271);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599);Médico Hospitalar;Médio;1;1;100,00;100,00;75,00;75,00;70,00;50,00;44,44;41,67;50,00;44,44;42,86;50,00;201812;16/01/2019 04:17:13
ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129);Médico Hospitalar;Pequeno;;;;;;;0,00;0,00;0,00;;;;;;201812;16/01/2019 04:17:13
ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;;;;;;100,00;100,00;100,00;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO (309028);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;66,67;66,67;66,67;100,00;66,67;66,67;50,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ (419591);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;;100,00;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA (326755);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;75,00;90,00;92,86;100,00;100,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;;;;;;;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO (402206);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150);Médico Hospitalar;Pequeno;;;;;100,00;100,00;100,00;;;;;50,00;66,67;50,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO METROPOLITANA DE ASSISTÊNCIA À SAÚDE (418854);Médico Hospitalar;Pequeno;132;143;60,00;50,00;55,56;73,33;73,33;78,57;69,23;64,71;60,00;53,85;50,00;71,43;201812;16/01/2019 04:17:13
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO (417211);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO PADRE ALBINO SAÚDE (420158);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;50,00;0,00;0,00;;;;;100,00;66,67;201812;16/01/2019 04:17:13
ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE (420816);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS (419958);Médico Hospitalar;Pequeno;;;;;;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - APAS SOROCABA/VOTORANTIM (410128);Médico Hospitalar;Pequeno;;1;;100,00;100,00;100,00;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA (409405);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;50,00;0,00;0,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS) (414212);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU (406945);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU (408093);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA (406635);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;0,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ (408034);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794);Médico Hospitalar;Pequeno;;;;;;;;;;100,00;100,00;100,00;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406813);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406937);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO POLICIAL MILITAR DE ASSISTËNCIA A SAÚDE (407097);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO PRÓ-SAÚDE (333328);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;66,67;201812;16/01/2019 04:17:13
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS (419249);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;83,33;75,00;88,89;100,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141);Médico Hospitalar;Médio;1;;100,00;;;100,00;100,00;100,00;100,00;100,00;100,00;;;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO SÃO LUIZ SAÚDE (421006);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO SAÚDE CONCEIÇÃO (330892);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;100,00;201812;16/01/2019 04:17:13
ASSOCIAÇÃO SAÚDE RURAL ALEGRETE (418218);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO SAÚDE SÃO JOSÉ (418919);Médico Hospitalar;Pequeno;;;;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;0,00;0,00;201812;16/01/2019 04:17:13
ASSOCIAÇAO UNISAUDE MARAU (333867);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO (420123);Médico Hospitalar;Pequeno;1;;100,00;;100,00;100,00;100,00;;;;;;;;201812;16/01/2019 04:17:13
ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL (412635);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;100,00;;;;;201812;16/01/2019 04:17:13
ASTRA S/A INDUSTRIA E COMERCIO (358410);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
ATÍVIA SERVIÇOS DE SAÚDE S/A (320510);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;50,00;66,67;201812;16/01/2019 04:17:13
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (327417);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
BARDELLA S/A INDÚSTRIAS MECÂNICAS (346403);Médico Hospitalar;Pequeno;;;;;;;;;;;;0,00;0,00;0,00;201812;16/01/2019 04:17:13
BENEFICENCIA CAMILIANA DO SUL (318299);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;77,78;66,67;71,43;100,00;100,00;100,00;201812;16/01/2019 04:17:13
BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;66,67;50,00;0,00;100,00;80,00;66,67;50,00;66,67;100,00;201812;16/01/2019 04:17:13
BIO SAÚDE SERVIÇOS MÉDICOS LTDA (402966);Médico Hospitalar;Médio;177;183;81,82;81,82;82,35;100,00;100,00;93,75;92,31;92,31;93,33;92,86;91,43;94,29;201812;16/01/2019 04:17:13
BIOVIDA SAÚDE LTDA. (415111);Médico Hospitalar;Grande;18;17;98,44;98,48;95,24;88,06;85,29;89,47;91,30;91,89;88,57;87,32;85,94;86,67;201812;16/01/2019 04:17:13
BOA VISTA ENERGIA S/A (416983);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
BRADESCO SAÚDE S.A. (005711);Médico Hospitalar;Grande;39;35;95,39;95,47;94,38;94,95;93,61;93,99;94,51;94,49;94,13;94,01;93,94;93,28;201812;16/01/2019 04:17:13
BRF S/A (417238);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;;;;201812;16/01/2019 04:17:13
CABERJ INTEGRAL SAÚDE S.A (415774);Médico Hospitalar;Médio;1;1;100,00;100,00;100,00;100,00;100,00;100,00;91,67;93,33;92,31;100,00;94,74;95,45;201812;16/01/2019 04:17:13
CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557);Médico Hospitalar;Pequeno;1;1;100,00;100,00;100,00;;;;;;;;;;201812;16/01/2019 04:17:13
CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825);Médico Hospitalar;Pequeno;;;;;;100,00;100,00;100,00;;;;;;;201812;16/01/2019 04:17:13
CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE (314251);Médico Hospitalar;Pequeno;;;;;;;100,00;100,00;100,00;;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331);Médico Hospitalar;Médio;182;188;75,00;75,00;78,57;84,62;82,35;83,33;88,89;85,71;80,00;66,67;75,00;75,86;201812;16/01/2019 04:17:13
CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA (416401);Médico Hospitalar;Médio;;1;;100,00;100,00;100,00;100,00;100,00;100,00;100,00;0,00;0,00;50,00;100,00;201812;16/01/2019 04:17:13
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ (324361);Médico Hospitalar;Médio;182;185;75,00;77,78;85,71;100,00;100,00;100,00;100,00;100,00;100,00;93,75;76,92;71,43;201812;16/01/2019 04:17:13
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873);Médico Hospitalar;Médio;1;206;100,00;50,00;50,00;50,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;201812;16/01/2019 04:17:13
CAIXA DE ASSISTÊNCIA A SAÚDE DA UNIVERSIDADE (330027);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661);Médico Hospitalar;Pequeno;1;1;100,00;100,00;;100,00;100,00;100,00;;;;;;100,00;201812;16/01/2019 04:17:13
CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC (412295);Médico Hospitalar;Pequeno;134;150;50,00;0,00;0,00;;;;;100,00;100,00;100,00;;;201812;16/01/2019 04:17:13
CAIXA DE ASSISTENCIA A SAUDE DOS ESTIVADORES DE PARANAGUÁ-SINDESTIVASAUDE (419273);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL (421341);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE (419851);Médico Hospitalar;Pequeno;;;;;;;;;;;;;;;201812;16/01/2019 04:17:13
